Number of values in datastructure; own Stack; cpp Stack
1;5700;3100
2;3600;1400
3;4900;1600
4;5100;1400
5;4400;1300
6;8100;5200
7;4800;1300
8;4600;4600
9;4700;11600
10;13900;1300
11;4400;1500
12;4200;1900
13;4500;1600
14;3600;1200
15;3600;1100
16;3200;3900
17;2300;8300
18;3200;1100
19;3500;1300
20;2500;1000
21;4100;1300
22;4200;1500
23;3200;1100
24;4100;1500
25;3700;1600
26;4600;2000
27;4300;1400
28;2600;1300
29;5500;1100
30;4600;1700
31;4500;1700
32;5300;4600
33;4900;1500
34;4600;1600
35;6300;1200
36;4500;1300
37;3900;1200
38;4900;1600
39;4800;1100
40;3800;2000
41;4300;1800
42;4200;1700
43;4000;1400
44;4800;2100
45;2700;1000
46;4000;1400
47;3900;1300
48;4000;1400
49;3000;1100
50;2300;900
51;4200;1400
52;4600;17600
53;4000;1300
54;3800;1400
55;3600;1200
56;4300;1400
57;4600;1400
58;3000;1200
59;4400;1400
60;3800;1300
61;3200;1300
62;3700;1300
63;4300;1400
64;6000;8800
65;1700;600
66;4300;1400
67;2900;1000
68;2500;1000
69;4700;1400
70;2800;1100
71;4600;1400
72;3500;1300
73;3200;1100
74;3700;1300
75;3600;1200
76;2400;900
77;4300;1600
78;3400;1100
79;2300;900
80;4200;1700
81;3100;1100
82;2100;1300
83;3900;1400
84;2800;1000
85;13500;1000
86;3000;900
87;3300;8600
88;3100;1200
89;4300;1500
90;4000;1500
91;4600;1500
92;2900;1100
93;3100;1000
94;2500;1000
95;4200;1400
96;2800;1000
97;3000;1000
98;3900;1300
99;4100;1500
100;3700;1300
101;4600;1800
102;3700;1400
103;4000;1300
104;2800;1000
105;4200;1500
106;3900;1400
107;4300;1400
108;4500;1800
109;3700;1600
110;5000;1300
111;5200;19700
112;4300;1500
113;4800;1700
114;3700;1400
115;20800;4800
116;3300;1100
117;4900;1500
118;4400;1500
119;3600;1500
120;5800;1600
121;5900;1300
122;3700;1100
123;4000;1400
124;4700;1600
125;3600;1300
126;4000;1600
127;4700;1900
128;5300;8100
129;3200;1200
130;3200;1000
131;2700;1000
132;2900;1200
133;4100;1500
134;3800;1500
135;22300;6600
136;4700;1700
137;4500;1300
138;4600;1600
139;4100;1800
140;4600;1600
141;4900;1800
142;4200;1400
143;4700;1800
144;4900;1700
145;6300;2400
146;4600;1600
147;3300;1100
148;4200;1600
149;3100;1100
150;3400;1000
151;2500;1100
152;3800;1400
153;3400;1100
154;4500;1400
155;4000;1600
156;3100;1200
157;4000;1400
158;4900;1400
159;5300;20600
160;3800;1800
161;4600;1400
162;4300;1200
163;4500;1800
164;4000;1700
165;2800;1100
166;2700;1200
167;2400;1000
168;5100;1400
169;5200;1500
170;4900;1600
171;4600;1600
172;4100;1700
173;4700;1800
174;5500;1500
175;4900;1700
176;6500;1700
177;4700;1400
178;4900;1800
179;5500;1900
180;4000;1700
181;4500;1200
182;5700;1500
183;6300;25400
184;4900;1900
185;20800;1800
186;4200;1600
187;3400;1300
188;2800;1000
189;2500;1000
190;3500;1100
191;2800;1000
192;3400;1100
193;2600;900
194;2700;1200
195;2400;1100
196;4900;1400
197;4700;1600
198;3900;1400
199;5000;1500
200;3200;1300
201;3200;1200
202;3100;1200
203;3100;1100
204;4200;1700
205;3000;1200
206;2400;1000
207;4100;1500
208;5200;1800
209;4200;1300
210;4500;1500
211;3200;1100
212;3000;1000
213;2800;1100
214;3700;1200
215;4700;1600
216;4100;1700
217;3300;1700
218;3800;1400
219;4400;1500
220;4200;1600
221;4100;2200
222;3000;1000
223;3200;1100
224;4300;1400
225;4200;1500
226;3400;1100
227;5300;1900
228;3100;1100
229;1900;800
230;2300;900
231;2300;1700
232;4900;1400
233;4700;1600
234;5100;1400
235;13700;1200
236;4500;1500
237;5100;2000
238;5000;1900
239;6100;2100
240;3400;1300
241;4600;1400
242;2800;1200
243;5000;2000
244;6200;1700
245;3300;1500
246;4100;1600
247;4500;1400
248;4200;1400
249;5400;2200
250;4800;1500
251;4800;2300
252;4700;1900
253;4500;1800
254;4300;1400
255;5000;1700
